,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,"1,228,586","1,233,767","1,232,608","1,231,410","1,232,200","1,228,719","1,225,177","1,225,301","1,226,950","1,228,634","1,229,894","1,230,234","1,231,962","1,235,156","1,240,535"
Alaska,"188,753","188,470","188,612","189,673","191,023","197,484","200,160","203,538","206,940","207,935","209,364","212,764","213,484","213,174","213,353"
Arizona,"1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,681,042","1,690,623","1,704,165","1,719,573","1,741,550","1,765,511","1,795,527","1,827,995","1,863,583","1,903,120"
Arkansas,"741,013","747,504","747,162","745,354","743,283","743,027","745,419","747,311","748,724","750,150","753,383","757,147","761,587","764,254","767,131"
California,"10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,508,797","10,563,533","10,636,008","10,730,918","10,844,896","10,961,901","11,088,335","11,197,559","11,274,711","11,335,052"
Colorado,"1,372,686","1,380,451","1,391,221","1,404,254","1,415,641","1,430,726","1,452,344","1,475,571","1,499,651","1,524,815","1,562,535","1,598,643","1,634,622","1,675,850","1,711,425"
Connecticut,"959,888","944,217","930,413","923,555","911,836","902,627","894,883","889,262","882,963","875,557","867,238","860,875","861,822","869,012","875,170"
Delaware,"232,763","232,516","231,339","230,357","228,638","227,384","227,311","227,469","229,950","232,784","235,059","236,076","237,424","239,609","242,181"
District of Columbia,"185,619","187,870","190,131","192,899","199,093","208,088","219,040","229,579","239,403","245,996","253,147","259,823","265,471","269,447","273,510"
Florida,"4,759,595","4,804,621","4,794,919","4,764,109","4,728,842","4,726,467","4,752,143","4,807,457","4,867,648","4,950,029","5,053,017","5,166,361","5,263,303","5,337,990","5,399,953"
Georgia,"2,685,792","2,727,666","2,747,437","2,758,599","2,750,052","2,732,614","2,730,710","2,733,849","2,734,179","2,744,751","2,761,220","2,786,464","2,813,474","2,841,654","2,874,215"
Hawaii,"355,213","358,311","355,570","358,796","360,092","362,478","366,528","372,449","377,408","379,054","381,825","384,982","384,212","383,261","381,798"
Idaho,"374,779","383,267","391,280","396,766","399,670","400,960","403,286","405,008","408,695","413,775","419,128","428,353","440,068","451,751","463,662"
Illinois,"3,595,524","3,572,420","3,552,188","3,537,433","3,517,245","3,500,021","3,491,412","3,480,981","3,477,581","3,463,903","3,443,469","3,423,212","3,411,501","3,401,999","3,395,231"
Indiana,"1,711,914","1,705,535","1,699,363","1,690,585","1,676,552","1,667,735","1,664,408","1,660,195","1,664,672","1,667,288","1,666,747","1,670,593","1,683,439","1,700,768","1,719,646"
Iowa,"753,008","747,836","747,886","746,335","745,305","747,794","749,668","748,778","751,404","754,619","757,384","761,295","768,987","776,477","783,365"
Kansas,"715,568","713,707","714,627","717,210","720,316","725,604","726,063","728,876","729,930","730,792","732,725","733,673","735,666","740,446","743,951"
Kentucky,"1,163,875","1,162,541","1,160,702","1,152,941","1,147,693","1,142,930","1,138,563","1,133,761","1,131,235","1,127,893","1,127,614","1,128,689","1,132,183","1,135,035","1,138,333"
Louisiana,"1,237,958","1,152,042","1,162,238","1,169,750","1,181,653","1,197,065","1,206,298","1,214,328","1,223,468","1,233,169","1,243,467","1,252,176","1,251,248","1,250,023","1,248,081"
Maine,"343,558","337,692","332,401","326,952","320,549","314,778","311,968","309,088","307,858","307,991","306,585","307,120","309,464","312,746","316,883"
Maryland,"1,610,134","1,598,650","1,580,856","1,569,212","1,558,062","1,559,947","1,565,350","1,575,769","1,582,333","1,586,093","1,590,296","1,589,949","1,595,982","1,604,205","1,611,462"
Massachusetts,"1,828,665","1,795,786","1,769,742","1,754,618","1,741,440","1,733,812","1,739,254","1,750,436","1,763,085","1,775,117","1,781,106","1,788,412","1,807,335","1,826,349","1,842,827"
Michigan,"2,708,190","2,658,755","2,601,061","2,537,217","2,476,233","2,433,561","2,409,274","2,393,977","2,389,287","2,390,322","2,394,081","2,409,397","2,432,008","2,455,853","2,477,786"
Minnesota,"1,423,781","1,412,852","1,411,388","1,405,692","1,399,672","1,396,159","1,399,164","1,402,927","1,409,925","1,415,326","1,419,161","1,427,341","1,447,757","1,469,532","1,488,193"
Mississippi,"774,027","767,066","768,082","767,502","764,156","762,784","761,330","760,060","759,121","759,720","758,367","758,663","759,739","760,028","759,501"
Missouri,"1,551,228","1,547,126","1,542,309","1,532,837","1,527,653","1,525,122","1,524,815","1,523,685","1,527,008","1,531,007","1,534,969","1,540,260","1,554,360","1,566,585","1,579,626"
Montana,"228,195","228,548","231,371","233,215","234,399","236,034","237,427","239,094","242,514","245,312","248,723","252,613","258,978","263,814","268,181"
Nebraska,"460,291","458,133","458,373","459,084","462,372","466,948","469,569","472,494","475,873","478,381","480,098","484,109","489,353","494,304","498,477"
Nevada,"724,049","747,896","765,237","774,847","774,536","769,133","765,448","769,733","774,643","783,657","796,693","810,183","826,662","845,578","863,621"
New Hampshire,"355,033","348,846","342,511","335,808","328,416","322,559","318,995","316,194","314,134","314,113","313,666","315,021","319,045","323,747","329,316"
New Jersey,"2,485,042","2,446,589","2,413,538","2,389,516","2,364,261","2,344,286","2,328,999","2,313,217","2,299,058","2,284,721","2,271,736","2,264,293","2,272,217","2,281,791","2,289,971"
New Mexico,"505,077","507,378","509,824","508,578","511,617","517,353","521,267","522,937","525,089","524,381","525,210","527,777","530,795","534,244","538,933"
New York,"5,492,496","5,417,603","5,357,444","5,324,739","5,290,037","5,269,491","5,280,203","5,293,962","5,307,314","5,310,927","5,308,145","5,302,413","5,296,806","5,299,630","5,297,612"
North Carolina,"2,494,079","2,518,651","2,544,472","2,570,907","2,573,672","2,577,428","2,576,613","2,579,425","2,588,912","2,599,047","2,609,449","2,629,058","2,656,509","2,685,733","2,719,496"
North Dakota,"157,141","156,114","158,461","159,328","162,677","166,651","170,338","176,254","184,593","191,160","199,208","200,854","202,520","204,630","207,147"
Ohio,"3,078,364","3,037,836","3,000,205","2,959,430","2,916,945","2,885,691","2,870,474","2,858,425","2,865,662","2,874,971","2,881,104","2,888,256","2,907,421","2,930,703","2,952,186"
Oklahoma,"933,315","938,630","945,623","949,236","959,376","969,262","977,707","986,699","998,145","1,007,081","1,018,222","1,025,476","1,029,018","1,033,633","1,041,466"
Oregon,"985,556","994,743","1,004,706","1,012,559","1,020,615","1,024,888","1,034,410","1,041,863","1,049,006","1,061,435","1,080,963","1,112,408","1,137,469","1,155,509","1,172,996"
Pennsylvania,"3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,126,308","3,125,681","3,128,332","3,135,420","3,144,540","3,148,142","3,151,070","3,168,645","3,196,393","3,222,875"
Rhode Island,"292,094","284,670","277,823","272,611","266,874","263,766","262,028","261,835","262,859","264,176","265,110","266,628","267,252","270,705","273,548"
South Carolina,"1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,666","1,191,652","1,195,740","1,204,834","1,219,478","1,236,951","1,252,837","1,268,559","1,285,375","1,303,358"
South Dakota,"194,053","193,284","194,894","195,036","196,965","199,015","201,106","204,203","206,526","208,082","209,070","211,867","216,529","218,772","220,928"
Tennessee,"1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,677,469","1,677,851","1,685,054","1,690,596","1,700,242","1,711,613","1,726,844","1,750,044","1,773,550","1,797,314"
Texas,"6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,096,418","7,198,429","7,320,100","7,430,277","7,575,333","7,730,258","7,865,426","7,989,180","8,098,850","8,219,202"
Utah,"679,624","701,224","726,571","746,850","765,668","781,612","791,821","800,765","812,373","824,361","837,655","858,898","880,412","898,476","915,259"
Vermont,"158,855","155,997","153,309","151,259","149,150","147,554","146,433","144,989","144,560","143,157","142,403","141,762","142,874","144,499","145,675"
Virginia,"2,190,025","2,190,642","2,186,905","2,189,453","2,191,638","2,203,579","2,214,975","2,232,302","2,245,101","2,254,119","2,258,180","2,261,664","2,274,775","2,288,181","2,302,877"
Washington,"1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,846,434","1,868,822","1,888,261","1,907,793","1,939,655","1,981,767","2,037,702","2,099,899","2,153,138","2,200,216"
West Virginia,"469,859","468,119","465,516","463,268","460,260","457,929","455,784","453,037","449,970","447,332","444,712","440,808","435,799","431,393","427,806"
Wisconsin,"1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,445,127","1,436,604","1,428,023","1,423,474","1,419,403","1,414,596","1,414,290","1,425,720","1,440,982","1,454,297"
Wyoming,"129,772","131,399","135,001","138,230","143,309","144,960","145,993","149,161","150,776","151,600","152,933","152,602","150,863","150,456","150,718"
